work_name;unit;system;confidence;note
Грунтование стен и перегородок в процессе подготовки под покраску;м.кв.;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
Грунтование потолка в процессе подготовки под покраску;м.кв.;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
Шпатлевка 2 раза, заделка швов, шлифовка, грунтовка;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка потолка 2 раза, заделка швов, шлифовка, грунтовка;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка арочного откоса за 2 раза, заделка швов, шлифовка, грунтовка;мп;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка радиусной перегородки за 2 раза, заделка швов, шлифовка, грунтовка;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка колонны за 2 раза, заделка швов, шлифовка, грунтовка;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Ремонт стен (шпаклевка, шлифовка);м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка заделка швов, шлифовка, грунтовка;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Ремонт потолка (шпаклевка, шлифовка) сложной формы;м2;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Шпатлевка откоса за 2 раза, заделка швов, шлифовка, грунтовка;мп;PLITONIT Кп PRO;высокая;1,2 кг на м2 на 1 мм слоя
Устройство наливного пола толщина до 15 мм;м2;PLITONIT Р1 PRO / Фаст Флор;высокая;1,6–2,0 кг на м2 на 1 мм
Устройство стяжки по маякам до 50мм (предварительное грунтование);м2;PLITONIT Р1 PRO / Фаст Флор;высокая;1,6–2,0 кг на м2 на 1 мм
Шлифовка стяжки/наливного пола, нанесение грунта;м2;PLITONIT Р1 PRO / Фаст Флор;высокая;1,6–2,0 кг на м2 на 1 мм
Устройство стяжки по маякам до 120 мм (предварительное грунтование);м2;PLITONIT Р1 PRO / Фаст Флор;высокая;1,6–2,0 кг на м2 на 1 мм
Оклейка стен стеклохолстом;м2;Wellton;высокая;"1 м2 на 1 м2 без раскроя; клей по упаковке"
Оклейка потолка стеклохолстом;м2;Wellton;высокая;"1 м2 на 1 м2 без раскроя; клей по упаковке"
Оклейка стеклохолстом 40 гр/м2 стен и перегородок;м.кв.;Wellton;высокая;"1 м2 на 1 м2 без раскроя; клей по упаковке"
Оклейка стеклохолстом 40 гр/м2 потолка;м.кв.;Wellton;высокая;"1 м2 на 1 м2 без раскроя; клей по упаковке"
Устройство подвесного потолка Армстронг;м2;Албес;;"плитный потолок; калькулятор Албес, открытой формулы нет"
Устройство подвесного потолка Грильято;м2;Албес;;"грильято; калькулятор Албес, открытой формулы нет"
Монтаж потолка Армстронг;м.кв.;Албес;;"плитный потолок; калькулятор Албес, открытой формулы нет"
Монтаж светильников подвесных армстронг (поставка заказчика);шт.;Албес;;"плитный потолок; калькулятор Албес, открытой формулы нет"
Устройство подвесного потолка ГКЛ на метал. каркасе (двухуровневый);м2;П 112;высокая;
Устройство подвесного потолка ГКЛ на метал. каркасе (одноуровневый);м2;П 113;высокая;
Устройство лобика в подвесном потолке ГКЛ на металлическом каркасе;мп;П 113;средняя;уровень каркаса не указан — уточнить по проекту
Устройство ниши на потолке гкл;комп;П 113;средняя;уровень каркаса не указан — уточнить по проекту
Устройство ниш в подвесном потолке ГКЛ на металлическом каркасе (для светильников, вент решеток, дымоудаления, фриз);мп;П 113;средняя;уровень каркаса не указан — уточнить по проекту
Устройство лобика потолка ГКЛ на метал. каркасе (одноуровневый);м2;П 113;высокая;
Устройство ниш в потолке ГКЛ;м.кв.;П 113;средняя;уровень каркаса не указан — уточнить по проекту
Устройство элементов из ГКЛ на потолке (короб из ГКЛ над кассовым столом);м.кв.;П 113;средняя;уровень каркаса не указан — уточнить по проекту
Ремонт подвесного потолка ГКЛ на метал. каркасе (одноуровневый);м2;П 113;высокая;
Монтаж временной перегородки (1 слой ГКЛ с одной стороны);м2;С 111;средняя;"временная выгородка в 1 слой с одной стороны; полного аналога у Кнауф нет, ближайшее — С 111"
Монтаж временной перегородки (1 слой ГКЛ с одной стороны)+дверь;м2;С 111;средняя;"временная выгородка в 1 слой с одной стороны; полного аналога у Кнауф нет, ближайшее — С 111"
Устройство перегородки из ГКЛ (2 слоя с 2 сторон) на металлическом каркасе С112, с усилением;м2;С 112;высокая;код указан в смете
Устройство перегородки из ГКЛ (2 слоя с 2 сторон) на метал. каркасе С112;м2;С 112;высокая;код указан в смете
Устройство радиусной перегородки из ГКЛ на металлическом каркасе;м2;С 112;низкая;радиусная — каркас считается по проекту, состав обшивки как у С 112
Устройство перегородки из ГКЛ (2 слоя с 2 сторон) на металлическом каркасе С112;м2;С 112;высокая;код указан в смете
Устройство перегородки из ГКЛ (2 слоя с 2 сторон) на металлическом усиленном каркасе С112, с усилением;м2;С 112;высокая;код указан в смете
Монтаж металлокаркаса для ГКЛ Knauf ( перегородка);м.кв.;С 112;средняя;слойность в наименовании не указана — уточнить по проекту
Расшивка швов в ГКЛ на стенах и перегородках;м.кв.;С 112;средняя;слойность в наименовании не указана — уточнить по проекту
Устройство обшивки стен из ГКЛ (2 слоя с 1 стороны) на клее;м2;С 611;высокая;
Устройство обшивки стен из ГКЛ (1 слой с 1 стороны) на существующий металлический каркас;м2;С 623 (1 слой);средняя;обшивка по готовому каркасу — каркас не закупается
Устройство обшивки стен из ГКЛ (2 слоя с 1 стороны) на металлическом каркасе, с усилением;м2;С 626;высокая;отнесённый стоечный каркас, 2 слоя
Устройство обшивки стен из ГКЛ (2 слоя с 1 стороны) на металлическом каркасе;м2;С 626;высокая;отнесённый стоечный каркас, 2 слоя
Устройство радиусной обшивки стен из ГКЛ (2 слоя с 1 стороны) на металлическом каркасе;м2;С 626;высокая;отнесённый стоечный каркас, 2 слоя
Устройство обшивки стен из ГКЛ (2 слоя с 1 стороны) на металлическом каркасе. Над колоннами;м2;С 626;высокая;отнесённый стоечный каркас, 2 слоя
Обшивка потолка ГКЛ Knauf 12,5 мм многоуровневого в 1 сл. по готовому металлокаркасу;м.кв.;С 626;средняя;слойность уточнить
Монтаж металлокаркаса для ГКЛ Knauf (обшивка стен возведение ниш стен);м.кв.;С 626;средняя;слойность уточнить
Заполнение металлического каркаса мин ватой;м2;входит в систему;высокая;минеральная звукоизоляция 1,0 м2 на 1 м2 конструкции
Покраска стен в/э краской 2 раза;м2;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска потолка в/э краской 2 раза;м2;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска потолка в/э краской 2 раза с коммуникациями;м2;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Огрунтовка и окраска металлических поверхностей;мп;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Декоративная краска - поставка и покраска;;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Не учтена покраска плинтуса в цвет стен;;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска плинтуса полиуретанового;мп;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска плинтуса МДФ;мп;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска стен в/э краской 2 раза. Техническое помещение;м2;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска стен в/э краской 2 раза. Колонны;м2;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска стен и перегородок краской Tikkurila Euro 7, 2 слоя;м.кв.;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Покраска потолка краской Tikkurila Euro 7, 2 слоя;м.кв.;калькулятор Masterline;высокая;по укрывистости и числу слоёв
Штробление стяжки и укладка закладной трубы;мп;по проекту;;типовой системы нет — состав считается по чертежу узла
Устройство закладных из СМЛ/ГСП;м2;по проекту;;типовой системы нет — состав считается по чертежу узла
Устройство ниши из ГКЛ;мп;по проекту;;типовой системы нет — состав считается по чертежу узла
Монтаж усиления потолка;м2;по проекту;;типовой системы нет — состав считается по чертежу узла
Финишное покрытие декоративной штукатурки;м2;по проекту;;типовой системы нет — состав считается по чертежу узла
Устройство подиума из ГКЛ (2 слоя с 1 стороны) на металлическом каркасе;м2;по проекту;;типовой системы нет — состав считается по чертежу узла
Устройство подшивки свода над колоннами из ГКЛ (1 слой с 1 стороны);мп;по проекту;;типовой системы нет — состав считается по чертежу узла
Монтаж ревизионных люков под покраску (ревизия ОВиК) с прорезкой и усилением каркаса;шт.;по проекту;;типовой системы нет — состав считается по чертежу узла
Покрытие финишной шпаклевкой Sheetrock, шкурение стен и перегородок;м.кв.;по проекту;;типовой системы нет — состав считается по чертежу узла
Покрытие финишной шпаклевкой Sheetrock, шкурение потолка;м.кв.;по проекту;;типовой системы нет — состав считается по чертежу узла
